22.1,21.5333,479,882.333,0.0035372,1
19.29,26.2,0,463,0.00362005,0
19.6,19.5,33.5,454.5,0.00274293,0
20.5,19.89,0,439.5,0.00295915,0
21.745,18.29,54.5,440,0.00293721,0
19.39,26.7,0,471,0.00371273,0
20.245,19.245,0,465.5,0.00281781,0
20.39,18.7,0,429,0.00276241,0
21,19.6,0,470,0.00300743,0
20.39,33,0,508,0.00489146,0
20,18.89,0,441,0.0027238,0
20.15,33.09,0,446,0.00483211,0
20.39,32.9,0,508,0.00487652,0
19.29,27.6,0,438,0.00381467,0
21,23.5,411,542.75,0.00360932,1
21.5,26,0,490,0.00412105,0
21.3233,23.9267,428.333,654.667,0.00374936,1
19.5,26.5,0,472.5,0.0037102,0
19.6,19.5,0,455.5,0.00274293,0
20.5,33.79,0,719.5,0.00504391,0
20.55,18.945,0,430,0.00282667,0
19.29,31.5,0,433,0.00435748,0
20.15,21.2,0,446.5,0.0030872,0
19.39,31,0,434,0.0043148,0
21,19.7,0,463.5,0.00302285,0
20.05,18.7,0,436,0.00270469,0
19.29,27.7,0,433,0.00382858,0
19.89,26.79,0,443,0.00384356,0
20.365,19.1,165.5,455.75,0.00281739,0
23.15,27.245,426,713.5,0.00477946,1
23.1,27.2,426,704.5,0.00475699,1
20.745,20.34,0,460.5,0.00307271,0
20.29,33.09,0,446,0.00487445,0
19.29,26.39,0,469,0.00364646,0
19.89,18.89,0,437,0.00270522,0
19.79,26.6,36.6667,418.667,0.0037924,0
20.39,19.29,0,433.5,0.00284997,0
20.39,30.77,433,902.5,0.00455849,1
21.84,36.0225,469,1540,0.00584565,1
20.7,19.5,418.333,530.333,0.00293702,1
20.2,21.2,0,442.5,0.00309681,0
22.1,26.5,465.25,1054,0.00435877,1
20.39,18.7,0,434,0.00276241,0
19.245,31.05,0,432,0.0042827,0
19.39,31.2,0,437,0.00434284,0
20.675,31.4725,438,1041.5,0.00474669,1
19.5,27,24,416,0.00378063,0
22.29,27.34,0,609,0.00455067,0
20.89,32.475,436.5,1237.75,0.00496488,1
20.1,33,0,453,0.00480386,0
19.39,26.8233,0,466,0.00372998,0
19.34,27.445,0,425,0.00380502,0
22.1,26.5,453,1038,0.00435877,1
20.2,33.09,0,453.5,0.00484719,0
19.89,26.1,0,438.5,0.00374397,0
19.65,19.34,0,442.5,0.00272882,0
21,24.39,0,442.5,0.00374684,0
20.29,33,0,458,0.00486109,0
22.245,25.55,433,1002,0.00423899,1
20.89,23.5,0,444.5,0.00358485,0
19.4633,30.5667,43,429.333,0.00427367,0
19.39,31.1,0,437,0.00432882,0
19.39,30.6,20.3333,438,0.00425875,0
20.2,32.9,0,449,0.00481915,0
21.075,32.8725,454,1330,0.0050841,1
19.39,27.1,0,457,0.00376869,0
19.34,27.65,0,436,0.00383362,0
19.7,19.5,24,458,0.00276009,0
19.79,19.29,0,440,0.0027456,0
20.2,21.29,0,445,0.00311003,0
20.4725,19.0975,411,503.25,0.00283587,1
22,37.79,444,1847,0.00619611,1
19.7,19.5,0,452,0.00276009,0
20.8567,19.76,433,628.333,0.00300536,1
20.29,32.9,0,461,0.00484625,0
20.89,24.39,0,439.5,0.00372143,0
20.29,18.79,0,436,0.00275859,0
21.39,20.865,449.5,798.5,0.00328052,1
22,38.2725,432.75,1895,0.00627602,1
20,18.89,0,438,0.0027238,0
20.89,24.2,0,445.5,0.00369226,0
21.05,24.945,0,444.5,0.00384449,0
20.39,32.9,0,498,0.00487652,0
19.245,31.15,6,424.5,0.00429658,0
20.5,21.89,0,437,0.00325826,0
20.89,23.6,0,448.5,0.00360019,0
19.79,26.5,0,438,0.00377805,0
21.1,19.5,0,498,0.00301054,0
19.65,28.945,0,441,0.00409298,0
20.7675,22.65,411,478,0.00342837,1
20.15,26.2675,62,424.75,0.00382969,0
19.1,30.89,13,435.5,0.00422188,0
